AssetType,Year,Growth
Cash & Near: 3mo T-bill,1990,6.5%
Cash & Near: 3mo T-bill,1991,6.6%
Cash & Near: 3mo T-bill,1992,6.7%
Cash & Near: 3mo T-bill,1993,6.6%
Cash & Near: 3mo T-bill,1994,6.7%
Cash & Near: 3mo T-bill,1995,6.7%
Cash & Near: 3mo T-bill,1996,6.7%
Cash & Near: 3mo T-bill,1997,6.7%
Cash & Near: 3mo T-bill,1998,6.7%
Cash & Near: 3mo T-bill,1999,6.7%
Cash & Near: 3mo T-bill,2000,6.6%
Cash & Near: 3mo T-bill,2001,6.6%
Cash & Near: 3mo T-bill,2002,6.5%
Cash & Near: 3mo T-bill,2003,6.3%
Cash & Near: 3mo T-bill,2004,6.1%
Cash & Near: 3mo T-bill,2005,6.0%
Cash & Near: 3mo T-bill,2006,6.0%
Cash & Near: 3mo T-bill,2007,6.0%
Cash & Near: 3mo T-bill,2008,5.8%
Cash & Near: 3mo T-bill,2009,5.5%
Cash & Near: 3mo T-bill,2010,5.1%
Cash & Near: 3mo T-bill,2011,4.6%
Cash & Near: 3mo T-bill,2012,4.3%
Cash & Near: 3mo T-bill,2013,4.0%
Cash & Near: 3mo T-bill,2014,3.7%
Cash & Near: 3mo T-bill,2015,3.4%
Cash & Near: 3mo T-bill,2016,3.2%
Cash & Near: 3mo T-bill,2017,3.1%
Cash & Near: 3mo T-bill,2018,2.9%
Cash & Near: 3mo T-bill,2019,2.7%
Bonds: Aggregate,1990,12.4%
Bonds: Aggregate,1991,12.7%
Bonds: Aggregate,1992,12.3%
Bonds: Aggregate,1993,12.1%
Bonds: Aggregate,1994,11.1%
Bonds: Aggregate,1995,11.6%
Bonds: Aggregate,1996,11.1%
Bonds: Aggregate,1997,11.0%
Bonds: Aggregate,1998,10.9%
Bonds: Aggregate,1999,10.3%
Bonds: Aggregate,2000,10.4%
Bonds: Aggregate,2001,10.3%
Bonds: Aggregate,2002,10.3%
Bonds: Aggregate,2003,10.0%
Bonds: Aggregate,2004,9.8%
Bonds: Aggregate,2005,9.5%
Bonds: Aggregate,2006,9.3%
Bonds: Aggregate,2007,9.2%
Bonds: Aggregate,2008,9.1%
Bonds: Aggregate,2009,9.0%
Bonds: Aggregate,2010,9.1%
Bonds: Aggregate,2011,9.2%
Bonds: Aggregate,2012,8.2%
Bonds: Aggregate,2013,7.9%
Bonds: Aggregate,2014,7.6%
Bonds: Aggregate,2015,6.9%
Bonds: Aggregate,2016,6.4%
Bonds: Aggregate,2017,6.5%
Bonds: Aggregate,2018,6.2%
Bonds: Aggregate,2019,6.0%
Stocks: Dow Jones,1990,6.2%
Stocks: Dow Jones,1991,6.2%
Stocks: Dow Jones,1992,6.7%
Stocks: Dow Jones,1993,6.6%
Stocks: Dow Jones,1994,6.2%
Stocks: Dow Jones,1995,7.0%
Stocks: Dow Jones,1996,8.5%
Stocks: Dow Jones,1997,8.7%
Stocks: Dow Jones,1998,9.1%
Stocks: Dow Jones,1999,10.5%
Stocks: Dow Jones,2000,10.1%
Stocks: Dow Jones,2001,9.7%
Stocks: Dow Jones,2002,8.6%
Stocks: Dow Jones,2003,10.0%
Stocks: Dow Jones,2004,11.0%
Stocks: Dow Jones,2005,9.7%
Stocks: Dow Jones,2006,9.7%
Stocks: Dow Jones,2007,10.5%
Stocks: Dow Jones,2008,9.4%
Stocks: Dow Jones,2009,9.9%
Stocks: Dow Jones,2010,9.8%
Stocks: Dow Jones,2011,10.3%
Stocks: Dow Jones,2012,9.9%
Stocks: Dow Jones,2013,10.1%
Stocks: Dow Jones,2014,10.5%
Stocks: Dow Jones,2015,9.5%
Stocks: Dow Jones,2016,9.2%
Stocks: Dow Jones,2017,9.9%
Stocks: Dow Jones,2018,9.3%
Stocks: Dow Jones,2019,9.2%
Metals: Gold,1990,11.4%
Metals: Gold,1991,11.2%
Metals: Gold,1992,11.1%
Metals: Gold,1993,11.2%
Metals: Gold,1994,11.5%
Metals: Gold,1995,11.5%
Metals: Gold,1996,11.5%
Metals: Gold,1997,11.0%
Metals: Gold,1998,10.3%
Metals: Gold,1999,9.9%
Metals: Gold,2000,10.3%
Metals: Gold,2001,9.8%
Metals: Gold,2002,8.8%
Metals: Gold,2003,7.2%
Metals: Gold,2004,5.5%
Metals: Gold,2005,5.7%
Metals: Gold,2006,7.7%
Metals: Gold,2007,7.6%
Metals: Gold,2008,7.4%
Metals: Gold,2009,5.8%
Metals: Gold,2010,3.3%
Metals: Gold,2011,5.1%
Metals: Gold,2012,5.9%
Metals: Gold,2013,5.0%
Metals: Gold,2014,5.1%
Metals: Gold,2015,5.3%
Metals: Gold,2016,5.0%
Metals: Gold,2017,4.3%
Metals: Gold,2018,4.4%
Metals: Gold,2019,5.2%
Bonds: High Yield,1990,29.2%
Bonds: High Yield,1991,30.4%
Bonds: High Yield,1992,29.4%
Bonds: High Yield,1993,28.7%
Bonds: High Yield,1994,26.6%
