AssetType,Year,Growth
NASDAQ,1971,0.0%
NASDAQ,1972,13.3%
NASDAQ,1973,-36.6%
NASDAQ,1974,-42.2%
NASDAQ,1975,21.3%
NASDAQ,1976,20.2%
NASDAQ,1977,0.6%
NASDAQ,1978,3.0%
NASDAQ,1979,13.1%
NASDAQ,1980,19.0%
NASDAQ,1981,-11.1%
NASDAQ,1982,14.3%
NASDAQ,1983,15.5%
NASDAQ,1984,-14.7%
NASDAQ,1985,26.7%
NASDAQ,1986,6.2%
NASDAQ,1987,-9.2%
NASDAQ,1988,10.5%
NASDAQ,1989,13.9%
NASDAQ,1990,-22.5%
NASDAQ,1991,52.2%
NASDAQ,1992,12.2%
NASDAQ,1993,11.6%
NASDAQ,1994,-5.7%
NASDAQ,1995,36.4%
NASDAQ,1996,18.8%
NASDAQ,1997,19.6%
NASDAQ,1998,37.3%
NASDAQ,1999,80.7%
NASDAQ,2000,-41.2%
NASDAQ,2001,-22.3%
NASDAQ,2002,-33.1%
NASDAQ,2003,47.3%
NASDAQ,2004,5.2%
NASDAQ,2005,-1.9%
NASDAQ,2006,6.8%
NASDAQ,2007,5.5%
NASDAQ,2008,-40.6%
NASDAQ,2009,40.0%
NASDAQ,2010,15.2%
NASDAQ,2011,-4.7%
NASDAQ,2012,14.0%
NASDAQ,2013,36.2%
NASDAQ,2014,12.6%
NASDAQ,2015,5.0%
NASDAQ,2016,5.3%
NASDAQ,2017,25.6%
NASDAQ,2018,-5.6%
NASDAQ,2019,32.2%
,,
