AssetType,Year,Growth
3mo Tbill,1928,3.1%
3mo Tbill,1929,3.2%
3mo Tbill,1930,4.6%
3mo Tbill,1931,2.3%
3mo Tbill,1932,1.1%
3mo Tbill,1933,1.0%
3mo Tbill,1934,0.3%
3mo Tbill,1935,0.2%
3mo Tbill,1936,0.2%
3mo Tbill,1937,0.3%
3mo Tbill,1938,0.1%
3mo Tbill,1939,0.1%
3mo Tbill,1940,0.0%
3mo Tbill,1941,0.1%
3mo Tbill,1942,0.3%
3mo Tbill,1943,0.4%
3mo Tbill,1944,0.4%
3mo Tbill,1945,0.4%
3mo Tbill,1946,0.4%
3mo Tbill,1947,0.6%
3mo Tbill,1948,1.1%
3mo Tbill,1949,1.1%
3mo Tbill,1950,1.2%
3mo Tbill,1951,1.5%
3mo Tbill,1952,1.7%
3mo Tbill,1953,1.9%
3mo Tbill,1954,0.9%
3mo Tbill,1955,1.7%
3mo Tbill,1956,2.6%
3mo Tbill,1957,3.2%
3mo Tbill,1958,1.8%
3mo Tbill,1959,3.4%
3mo Tbill,1960,2.9%
3mo Tbill,1961,2.4%
3mo Tbill,1962,2.8%
3mo Tbill,1963,3.2%
3mo Tbill,1964,3.6%
3mo Tbill,1965,4.0%
3mo Tbill,1966,4.9%
3mo Tbill,1967,4.3%
3mo Tbill,1968,5.3%
3mo Tbill,1969,6.7%
3mo Tbill,1970,6.4%
3mo Tbill,1971,4.3%
3mo Tbill,1972,4.1%
3mo Tbill,1973,7.0%
3mo Tbill,1974,7.8%
3mo Tbill,1975,5.8%
3mo Tbill,1976,5.0%
3mo Tbill,1977,5.3%
3mo Tbill,1978,7.2%
3mo Tbill,1979,10.1%
3mo Tbill,1980,11.4%
3mo Tbill,1981,14.0%
3mo Tbill,1982,10.6%
3mo Tbill,1983,8.6%
3mo Tbill,1984,9.5%
3mo Tbill,1985,7.5%
3mo Tbill,1986,6.0%
3mo Tbill,1987,5.8%
3mo Tbill,1988,6.7%
3mo Tbill,1989,8.1%
3mo Tbill,1990,7.5%
3mo Tbill,1991,5.4%
3mo Tbill,1992,3.4%
3mo Tbill,1993,3.0%
3mo Tbill,1994,4.3%
3mo Tbill,1995,5.5%
3mo Tbill,1996,5.0%
3mo Tbill,1997,5.1%
3mo Tbill,1998,4.8%
3mo Tbill,1999,4.6%
3mo Tbill,2000,5.8%
3mo Tbill,2001,3.4%
3mo Tbill,2002,1.6%
3mo Tbill,2003,1.0%
3mo Tbill,2004,1.4%
3mo Tbill,2005,3.2%
3mo Tbill,2006,4.7%
3mo Tbill,2007,4.4%
3mo Tbill,2008,1.4%
3mo Tbill,2009,0.2%
3mo Tbill,2010,0.1%
3mo Tbill,2011,0.1%
3mo Tbill,2012,0.1%
3mo Tbill,2013,0.1%
3mo Tbill,2014,0.0%
3mo Tbill,2015,0.1%
3mo Tbill,2016,0.3%
3mo Tbill,2017,0.9%
3mo Tbill,2018,1.9%
3mo Tbill,2019,1.6%
US Tbond,1928,0.8%
US Tbond,1929,4.2%
US Tbond,1930,4.5%
US Tbond,1931,-2.6%
US Tbond,1932,8.8%
US Tbond,1933,1.9%
US Tbond,1934,8.0%
US Tbond,1935,4.5%
US Tbond,1936,5.0%
US Tbond,1937,1.4%
US Tbond,1938,4.2%
US Tbond,1939,4.4%
US Tbond,1940,5.4%
US Tbond,1941,-2.0%
US Tbond,1942,2.3%
US Tbond,1943,2.5%
US Tbond,1944,2.6%
US Tbond,1945,3.8%
US Tbond,1946,3.1%
US Tbond,1947,0.9%
US Tbond,1948,2.0%
US Tbond,1949,4.7%
US Tbond,1950,0.4%
US Tbond,1951,-0.3%
US Tbond,1952,2.3%
US Tbond,1953,4.1%
US Tbond,1954,3.3%
US Tbond,1955,-1.3%
US Tbond,1956,-2.3%
US Tbond,1957,6.8%
US Tbond,1958,-2.1%
US Tbond,1959,-2.7%
US Tbond,1960,11.6%
US Tbond,1961,2.1%
US Tbond,1962,5.7%
US Tbond,1963,1.7%
US Tbond,1964,3.7%
US Tbond,1965,0.7%
US Tbond,1966,2.9%
US Tbond,1967,-1.6%
US Tbond,1968,3.3%
US Tbond,1969,-5.0%
US Tbond,1970,16.8%
US Tbond,1971,9.8%
US Tbond,1972,2.8%
US Tbond,1973,3.7%
US Tbond,1974,2.0%
US Tbond,1975,3.6%
US Tbond,1976,16.0%
US Tbond,1977,1.3%
US Tbond,1978,-0.8%
US Tbond,1979,0.7%
US Tbond,1980,-3.0%
US Tbond,1981,8.2%
US Tbond,1982,32.8%
US Tbond,1983,3.2%
US Tbond,1984,13.7%
US Tbond,1985,25.7%
US Tbond,1986,24.3%
US Tbond,1987,-5.0%
US Tbond,1988,8.2%
US Tbond,1989,17.7%
US Tbond,1990,6.2%
US Tbond,1991,15.0%
US Tbond,1992,9.4%
US Tbond,1993,14.2%
US Tbond,1994,-8.0%
US Tbond,1995,23.5%
US Tbond,1996,1.4%
US Tbond,1997,9.9%
US Tbond,1998,14.9%
US Tbond,1999,-8.3%
US Tbond,2000,16.7%
US Tbond,2001,5.6%
US Tbond,2002,15.1%
US Tbond,2003,0.4%
US Tbond,2004,4.5%
US Tbond,2005,2.9%
US Tbond,2006,2.0%
US Tbond,2007,10.2%
US Tbond,2008,20.1%
US Tbond,2009,-11.1%
US Tbond,2010,8.5%
US Tbond,2011,16.0%
US Tbond,2012,3.0%
US Tbond,2013,-9.1%
US Tbond,2014,10.8%
US Tbond,2015,1.3%
US Tbond,2016,0.7%
US Tbond,2017,2.8%
US Tbond,2018,0.0%
US Tbond,2019,9.6%
High Yield Savings,1914,1.2%
High Yield Savings,1915,1.1%
High Yield Savings,1916,1.2%
High Yield Savings,1917,1.2%
High Yield Savings,1918,1.2%
High Yield Savings,1919,1.2%
High Yield Savings,1920,1.2%
High Yield Savings,1921,1.2%
High Yield Savings,1922,1.2%
High Yield Savings,1923,1.1%
High Yield Savings,1924,1.2%
High Yield Savings,1925,1.1%
