AssetType,Year,Growth
Fish ,1980,0.00%
Fish ,1981,-9.20%
Fish ,1982,-8.40%
Fish ,1983,-12.60%
Fish ,1984,-9.50%
Fish ,1985,6.20%
Fish ,1986,16.00%
Fish ,1987,24.50%
Fish ,1988,-9.40%
Fish ,1989,-26.40%
Fish ,1990,9.80%
Fish ,1991,-9.10%
Fish ,1992,10.00%
Fish ,1993,-15.10%
Fish ,1994,0.00%
Fish ,1995,-4.70%
Fish ,1996,-13.90%
Fish ,1997,-9.40%
Fish ,1998,-0.20%
Fish ,1999,-4.00%
Fish ,2000,2.10%
Fish ,2001,-20.70%
Fish ,2002,1.60%
Fish ,2003,1.90%
Fish ,2004,11.70%
Fish ,2005,21.50%
Fish ,2006,24.60%
Fish ,2007,-10.20%
Fish ,2008,6.70%
Fish ,2009,1.50%
Fish ,2010,24.80%
Fish ,2011,-3.00%
Fish ,2012,-20.40%
Fish ,2013,41.50%
Fish ,2014,-1.70%
Fish ,2015,-19.60%
Fish ,2016,34.60%
Sugar No11,1980,0.00%
Sugar No11,1981,-41.10%
Sugar No11,1982,-50.20%
Sugar No11,1983,0.70%
Sugar No11,1984,-38.50%
Sugar No11,1985,-22.10%
Sugar No11,1986,49.30%
Sugar No11,1987,11.60%
Sugar No11,1988,50.90%
Sugar No11,1989,25.60%
Sugar No11,1990,-2.30%
Sugar No11,1991,-28.30%
Sugar No11,1992,1.00%
Sugar No11,1993,10.50%
Sugar No11,1994,20.80%
Sugar No11,1995,9.70%
Sugar No11,1996,-10.00%
Sugar No11,1997,-4.60%
Sugar No11,1998,-21.80%
Sugar No11,1999,-29.80%
Sugar No11,2000,29.00%
Sugar No11,2001,1.90%
Sugar No11,2002,-24.20%
Sugar No11,2003,11.00%
Sugar No11,2004,8.90%
Sugar No11,2005,33.50%
Sugar No11,2006,46.90%
Sugar No11,2007,-32.70%
Sugar No11,2008,25.10%
Sugar No11,2009,45.80%
Sugar No11,2010,15.10%
Sugar No11,2011,25.60%
Sugar No11,2012,-18.50%
Sugar No11,2013,-17.20%
Sugar No11,2014,-3.30%
Sugar No11,2015,-22.80%
Sugar No11,2016,40.10%
Shrimp ,1980,0.00%
Shrimp ,1981,-7.60%
Shrimp ,1982,30.40%
Shrimp ,1983,2.30%
Shrimp ,1984,-13.60%
Shrimp ,1985,-2.50%
