AssetType,Year,Growth
S&P 500,1928,43.80%
S&P 500,1929,-8.30%
S&P 500,1930,-25.10%
S&P 500,1931,-43.80%
S&P 500,1932,-8.60%
S&P 500,1933,50.00%
S&P 500,1934,-1.20%
S&P 500,1935,46.70%
S&P 500,1936,31.90%
S&P 500,1937,-35.30%
S&P 500,1938,29.30%
S&P 500,1939,-1.10%
S&P 500,1940,-10.70%
S&P 500,1941,-12.80%
S&P 500,1942,19.20%
S&P 500,1943,25.10%
S&P 500,1944,19.00%
S&P 500,1945,35.80%
S&P 500,1946,-8.40%
S&P 500,1947,5.20%
S&P 500,1948,5.70%
S&P 500,1949,18.30%
S&P 500,1950,30.80%
S&P 500,1951,23.70%
S&P 500,1952,18.20%
S&P 500,1953,-1.20%
S&P 500,1954,52.60%
S&P 500,1955,32.60%
S&P 500,1956,7.40%
S&P 500,1957,-10.50%
S&P 500,1958,43.70%
S&P 500,1959,12.10%
S&P 500,1960,0.30%
S&P 500,1961,26.60%
S&P 500,1962,-8.80%
S&P 500,1963,22.60%
S&P 500,1964,16.40%
S&P 500,1965,12.40%
S&P 500,1966,-10.00%
S&P 500,1967,23.80%
S&P 500,1968,10.80%
S&P 500,1969,-8.20%
S&P 500,1970,3.60%
S&P 500,1971,14.20%
S&P 500,1972,18.80%
S&P 500,1973,-14.30%
S&P 500,1974,-25.90%
S&P 500,1975,37.00%
S&P 500,1976,23.80%
S&P 500,1977,-7.00%
S&P 500,1978,6.50%
S&P 500,1979,18.50%
S&P 500,1980,31.70%
S&P 500,1981,-4.70%
S&P 500,1982,20.40%
S&P 500,1983,22.30%
S&P 500,1984,6.20%
S&P 500,1985,31.20%
S&P 500,1986,18.50%
S&P 500,1987,5.80%
S&P 500,1988,16.50%
S&P 500,1989,31.50%
S&P 500,1990,-3.10%
S&P 500,1991,30.20%
S&P 500,1992,7.50%
S&P 500,1993,10.00%
S&P 500,1994,1.30%
S&P 500,1995,37.20%
S&P 500,1996,22.70%
S&P 500,1997,33.10%
S&P 500,1998,28.30%
S&P 500,1999,20.90%
S&P 500,2000,-9.00%
S&P 500,2001,-11.90%
S&P 500,2002,-22.00%
S&P 500,2003,28.40%
S&P 500,2004,10.70%
S&P 500,2005,4.80%
S&P 500,2006,15.60%
S&P 500,2007,5.50%
S&P 500,2008,-36.60%
S&P 500,2009,25.90%
S&P 500,2010,14.80%
S&P 500,2011,2.10%
S&P 500,2012,15.90%
S&P 500,2013,32.20%
S&P 500,2014,13.50%
S&P 500,2015,1.40%
S&P 500,2016,11.80%
S&P 500,2017,21.60%
S&P 500,2018,-4.20%
S&P 500,2019,31.20%
Dow Jones,1896,0.00%
Dow Jones,1897,22.20%
Dow Jones,1898,22.50%
Dow Jones,1899,9.20%
Dow Jones,1900,7.00%
Dow Jones,1901,-8.70%
Dow Jones,1902,-0.40%
Dow Jones,1903,-23.60%
Dow Jones,1904,41.70%
Dow Jones,1905,38.20%
Dow Jones,1906,-1.90%
Dow Jones,1907,-37.70%
Dow Jones,1908,46.60%
Dow Jones,1909,15.00%
Dow Jones,1910,-17.90%
Dow Jones,1911,0.40%
Dow Jones,1912,7.60%
Dow Jones,1913,-10.30%
Dow Jones,1914,-30.70%
Dow Jones,1915,81.70%
Dow Jones,1916,-4.20%
Dow Jones,1917,-21.70%
Dow Jones,1918,10.50%
Dow Jones,1919,30.50%
Dow Jones,1920,-32.90%
Dow Jones,1921,12.70%
Dow Jones,1922,21.70%
Dow Jones,1923,-3.30%
Dow Jones,1924,26.20%
Dow Jones,1925,30.00%
Dow Jones,1926,0.30%
Dow Jones,1927,28.80%
Dow Jones,1928,48.20%
Dow Jones,1929,-17.20%
