AssetType,Year,Growth
Uranium ,1980,0.0%
Uranium ,1981,-23.9%
Uranium ,1982,-17.7%
Uranium ,1983,15.5%
Uranium ,1984,-24.8%
Uranium ,1985,-16.9%
Uranium ,1986,18.5%
Uranium ,1987,-1.1%
Uranium ,1988,-12.5%
Uranium ,1989,-31.6%
Uranium ,1990,-3.2%
Uranium ,1991,-13.2%
Uranium ,1992,1.3%
Uranium ,1993,17.7%
Uranium ,1994,-6.5%
Uranium ,1995,23.8%
Uranium ,1996,33.8%
Uranium ,1997,-22.5%
Uranium ,1998,-14.1%
Uranium ,1999,-3.6%
Uranium ,2000,-17.3%
Uranium ,2001,4.0%
Uranium ,2002,14.0%
Uranium ,2003,14.3%
Uranium ,2004,60.6%
Uranium ,2005,54.8%
Uranium ,2006,70.7%
Uranium ,2007,108.1%
Uranium ,2008,-35.3%
Uranium ,2009,-27.3%
Uranium ,2010,-1.5%
Uranium ,2011,22.4%
Uranium ,2012,-13.0%
Uranium ,2013,-21.1%
Uranium ,2014,-13.2%
Uranium ,2015,9.8%
Uranium ,2016,-28.4%
Iron Ore,1980,0.0%
Iron Ore,1981,0.0%
Iron Ore,1982,15.6%
Iron Ore,1983,-10.7%
Iron Ore,1984,-9.8%
Iron Ore,1985,1.6%
Iron Ore,1986,-1.1%
Iron Ore,1987,-3.7%
Iron Ore,1988,-3.9%
Iron Ore,1989,14.5%
Iron Ore,1990,16.8%
Iron Ore,1991,7.0%
Iron Ore,1992,-4.8%
Iron Ore,1993,-12.1%
Iron Ore,1994,-9.0%
Iron Ore,1995,7.2%
Iron Ore,1996,5.7%
Iron Ore,1997,0.5%
Iron Ore,1998,2.8%
Iron Ore,1999,-11.0%
Iron Ore,2000,4.4%
Iron Ore,2001,4.3%
Iron Ore,2002,-2.4%
Iron Ore,2003,9.0%
Iron Ore,2004,18.6%
Iron Ore,2005,71.5%
Iron Ore,2006,19.0%
Iron Ore,2007,9.5%
Iron Ore,2008,68.1%
Iron Ore,2009,29.9%
Iron Ore,2010,83.4%
Iron Ore,2011,14.4%
Iron Ore,2012,-23.4%
Iron Ore,2013,5.3%
Iron Ore,2014,-28.1%
Iron Ore,2015,-42.4%
Iron Ore,2016,4.3%
Metal index ,1980,0.0%
Metal index ,1981,-20.7%
Metal index ,1982,-15.1%
Metal index ,1983,18.0%
Metal index ,1984,-10.3%
Metal index ,1985,-9.3%
Metal index ,1986,0.5%
Metal index ,1987,25.3%
Metal index ,1988,54.1%
Metal index ,1989,-8.6%
Metal index ,1990,-12.3%
Metal index ,1991,-15.3%
Metal index ,1992,-2.9%
Metal index ,1993,-13.6%
Metal index ,1994,18.7%
Metal index ,1995,21.4%
Metal index ,1996,-12.6%
Metal index ,1997,2.2%
Metal index ,1998,-18.2%
Metal index ,1999,-0.3%
Metal index ,2000,13.2%
Metal index ,2001,-10.3%
Metal index ,2002,-3.5%
Metal index ,2003,11.8%
Metal index ,2004,34.6%
Metal index ,2005,22.4%
Metal index ,2006,56.2%
Metal index ,2007,17.4%
Metal index ,2008,-7.8%
Metal index ,2009,-19.2%
Metal index ,2010,48.2%
Metal index ,2011,13.5%
Metal index ,2012,-16.8%
Metal index ,2013,-4.3%
Metal index ,2014,-10.1%
Metal index ,2015,-23.0%
Metal index ,2016,-5.4%
Aluminum,1980,0.0%
Aluminum,1981,-28.9%
