AssetType,Year,Growth
Iron Ore,1980,0.0%
Iron Ore,1981,0.0%
Iron Ore,1982,15.6%
Iron Ore,1983,-10.7%
Iron Ore,1984,-9.8%
Iron Ore,1985,1.6%
Iron Ore,1986,-1.1%
Iron Ore,1987,-3.7%
Iron Ore,1988,-3.9%
Iron Ore,1989,14.5%
Iron Ore,1990,16.8%
Iron Ore,1991,7.0%
Iron Ore,1992,-4.8%
Iron Ore,1993,-12.1%
Iron Ore,1994,-9.0%
Iron Ore,1995,7.2%
Iron Ore,1996,5.7%
Iron Ore,1997,0.5%
Iron Ore,1998,2.8%
Iron Ore,1999,-11.0%
Iron Ore,2000,4.4%
Iron Ore,2001,4.3%
Iron Ore,2002,-2.4%
Iron Ore,2003,9.0%
Iron Ore,2004,18.6%
Iron Ore,2005,71.5%
Iron Ore,2006,19.0%
Iron Ore,2007,9.5%
Iron Ore,2008,68.1%
Iron Ore,2009,29.9%
Iron Ore,2010,83.4%
Iron Ore,2011,14.4%
Iron Ore,2012,-23.4%
Iron Ore,2013,5.3%
Iron Ore,2014,-28.1%
Iron Ore,2015,-42.4%
Iron Ore,2016,4.3%
Gold,1833,0.0%
Gold,1834,0.0%
Gold,1835,0.0%
Gold,1836,0.0%
Gold,1837,0.0%
Gold,1838,0.0%
Gold,1839,0.0%
Gold,1840,0.0%
Gold,1841,0.0%
Gold,1842,0.0%
Gold,1843,0.0%
Gold,1844,0.0%
Gold,1845,0.0%
Gold,1846,0.0%
Gold,1847,0.0%
Gold,1848,0.0%
Gold,1849,0.0%
Gold,1850,0.0%
Gold,1851,0.0%
Gold,1852,0.0%
Gold,1853,0.0%
Gold,1854,0.0%
Gold,1855,0.0%
Gold,1856,0.0%
Gold,1857,0.0%
Gold,1858,0.0%
Gold,1859,0.0%
Gold,1860,0.0%
Gold,1861,0.0%
Gold,1862,0.0%
Gold,1863,0.0%
Gold,1864,0.0%
Gold,1865,0.0%
Gold,1866,0.0%
Gold,1867,0.0%
Gold,1868,0.0%
Gold,1869,0.0%
Gold,1870,0.0%
Gold,1871,0.0%
Gold,1872,0.0%
Gold,1873,0.0%
Gold,1874,0.0%
Gold,1875,0.0%
Gold,1876,0.0%
Gold,1877,0.0%
Gold,1878,0.0%
Gold,1879,0.0%
Gold,1880,0.0%
Gold,1881,0.0%
Gold,1882,0.0%
Gold,1883,0.0%
Gold,1884,0.0%
Gold,1885,0.0%
Gold,1886,0.0%
Gold,1887,0.0%
Gold,1888,0.0%
Gold,1889,0.0%
Gold,1890,0.0%
Gold,1891,0.0%
Gold,1892,0.1%
Gold,1893,0.0%
Gold,1894,-0.1%
Gold,1895,0.0%
Gold,1896,0.3%
Gold,1897,0.0%
Gold,1898,0.0%
Gold,1899,-0.2%
Gold,1900,0.1%
Gold,1901,0.1%
Gold,1902,-0.1%
Gold,1903,-0.1%
Gold,1904,0.0%
Gold,1905,-0.2%
Gold,1906,-0.1%
Gold,1907,0.2%
Gold,1908,0.0%
Gold,1909,0.0%
Gold,1910,-0.2%
Gold,1911,0.0%
Gold,1912,0.0%
Gold,1913,0.0%
Gold,1914,0.4%
Gold,1915,0.0%
Gold,1916,0.0%
Gold,1917,0.0%
Gold,1918,0.0%
Gold,1919,-0.1%
Gold,1920,-0.1%
Gold,1921,-0.5%
Gold,1922,0.4%
Gold,1923,3.2%
Gold,1924,-3.0%
Gold,1925,-0.2%
Gold,1926,0.0%
Gold,1927,0.0%
Gold,1928,0.1%
Gold,1929,-0.1%
Gold,1930,0.1%
Gold,1931,-17.4%
Gold,1932,21.3%
Gold,1933,27.3%
Gold,1934,31.8%
Gold,1935,0.4%
Gold,1936,0.1%
Gold,1937,-0.2%
Gold,1938,0.2%
Gold,1939,-1.2%
Gold,1940,-1.7%
Gold,1941,0.0%
Gold,1942,0.0%
Gold,1943,0.0%
Gold,1944,0.0%
Gold,1945,2.5%
Gold,1946,0.0%
Gold,1947,0.0%
Gold,1948,0.0%
Gold,1949,-8.7%
Gold,1950,9.6%
