Model,Year,Growth
Aquinas Model,1990,36.7993197
Aquinas Model,1991,38.37480307
Aquinas Model,1992,38.54448095
Aquinas Model,1993,39.22123172
Aquinas Model,1994,36.15875547
Aquinas Model,1995,38.90195451
Aquinas Model,1996,41.94802584
Aquinas Model,1997,41.52514038
Aquinas Model,1998,38.80849153
Aquinas Model,1999,37.96510362
Aquinas Model,2000,38.7794656
Aquinas Model,2001,36.15526762
Aquinas Model,2002,31.3842642
Aquinas Model,2003,32.56047681
Aquinas Model,2004,34.65056487
Aquinas Model,2005,32.86457543
Aquinas Model,2006,36.25360422
Aquinas Model,2007,33.77928436
Aquinas Model,2008,23.96074073
Aquinas Model,2009,20.47038787
Aquinas Model,2010,22.03786502
Aquinas Model,2011,25.01814683
Aquinas Model,2012,22.68626007
Aquinas Model,2013,20.76814937
Aquinas Model,2014,21.45713762
Aquinas Model,2015,18.44026065
Aquinas Model,2016,18.1235577
Aquinas Model,2017,17.95520648
Aquinas Model,2018,16.05627256
Aquinas Model,2019,13.908644
20x5,1990,16.84413934
20x5,1991,16.92636615
20x5,1992,17.01867514
20x5,1993,17.31354859
20x5,1994,16.4891936
20x5,1995,17.72001231
20x5,1996,19.4730266
20x5,1997,19.16662383
20x5,1998,18.43739504
20x5,1999,18.8719108
20x5,2000,19.50758727
20x5,2001,18.33284841
20x5,2002,15.92908324
20x5,2003,15.84354219
20x5,2004,16.31091709
20x5,2005,15.41877736
20x5,2006,17.31129299
20x5,2007,17.06396449
20x5,2008,13.55300058
20x5,2009,10.64537731
20x5,2010,10.53180932
20x5,2011,12.21377369
20x5,2012,11.1971219
20x5,2013,10.33146265
20x5,2014,10.58936926
20x5,2015,9.383189457
20x5,2016,9.089665318
20x5,2017,8.937040044
20x5,2018,8.222631584
20x5,2019,8.646637258
100-year,1990,8.55500032
100-year,1991,6.784174783
100-year,1992,9.32355846
100-year,1993,8.25986257
100-year,1994,8.061273714
100-year,1995,7.366379982
100-year,1996,11.78145457
100-year,1997,12.41808822
100-year,1998,14.72329107
100-year,1999,20.32934436
100-year,2000,24.06314649
100-year,2001,20.37541833
100-year,2002,15.91385239
100-year,2003,15.26797503
100-year,2004,26.43821826
100-year,2005,20.4494718
100-year,2006,17.27389842
100-year,2007,22.88380615
100-year,2008,23.88926164
100-year,2009,13.92621915
100-year,2010,13.81892063
100-year,2011,16.76439398
100-year,2012,14.489769
100-year,2013,13.35527835
100-year,2014,17.0252667
100-year,2015,14.55274484
100-year,2016,12.07438472
100-year,2017,13.02290031
100-year,2018,13.99444966
100-year,2019,10.2783191
60/40 Rule,1990,11.63753888
60/40 Rule,1991,12.1243066
60/40 Rule,1992,13.28060621
60/40 Rule,1993,12.82659802
60/40 Rule,1994,11.39761593
60/40 Rule,1995,13.3174106
60/40 Rule,1996,16.36993433
60/40 Rule,1997,17.19285226
60/40 Rule,1998,18.66113878
60/40 Rule,1999,22.05107082
60/40 Rule,2000,20.89840121
60/40 Rule,2001,18.69504317
60/40 Rule,2002,15.28662769
60/40 Rule,2003,19.18772424
60/40 Rule,2004,23.33922197
60/40 Rule,2005,18.98412723
60/40 Rule,2006,18.27790916
60/40 Rule,2007,20.29670318
60/40 Rule,2008,15.78502487
60/40 Rule,2009,16.62965083
60/40 Rule,2010,15.94746804
60/40 Rule,2011,17.09062665
60/40 Rule,2012,14.84430508
60/40 Rule,2013,14.94023157
60/40 Rule,2014,15.20175206
60/40 Rule,2015,12.0162454
60/40 Rule,2016,11.0210629
60/40 Rule,2017,12.28334977
60/40 Rule,2018,10.67380739
60/40 Rule,2019,10.34325251
DJIA,1990,4.287591679
DJIA,1991,4.345385669
DJIA,1992,5.076111959
DJIA,1993,4.932939571
DJIA,1994,4.394878972
DJIA,1995,5.290499033
DJIA,1996,8.219517609
DJIA,1997,8.747507456
DJIA,1998,9.737158347
DJIA,1999,14.37608756
DJIA,2000,12.86714707
DJIA,2001,11.2663333
DJIA,2002,8.179397299
DJIA,2003,12.28871081
DJIA,2004,17.49953155
DJIA,2005,12.57739289
DJIA,2006,12.40670732
DJIA,2007,15.9621966
DJIA,2008,10.90503008
DJIA,2009,12.43299015
DJIA,2010,12.01098265
DJIA,2011,13.95549196
DJIA,2012,12.52026996
DJIA,2013,13.1655374
DJIA,2014,14.69673179
DJIA,2015,11.25560195
DJIA,2016,10.41097276
DJIA,2017,12.73130687
DJIA,2018,10.74986913
DJIA,2019,10.35203932
S&P500,1990,17.87256127
S&P500,1991,18.38078576
S&P500,1992,21.66594812
S&P500,1993,19.4392683
S&P500,1994,16.91750755
S&P500,1995,20.65019605
S&P500,1996,28.15310061
S&P500,1997,30.26799428
S&P500,1998,35.04858904
S&P500,1999,46.15876269
S&P500,2000,40.54485912
S&P500,2001,31.27847713
S&P500,2002,20.53637387
S&P500,2003,30.76861617
S&P500,2004,45.96607031
S&P500,2005,35.16236619
S&P500,2006,32.83335648
S&P500,2007,37.24644202
S&P500,2008,22.17299929
S&P500,2009,23.55764228
S&P500,2010,20.53467983
S&P500,2011,21.99990358
S&P500,2012,21.17764805
S&P500,2013,22.89194662
S&P500,2014,24.46549851
S&P500,2015,18.90854839
S&P500,2016,17.83945747
S&P500,2017,20.50357304
S&P500,2018,16.86044891
S&P500,2019,16.821984
