AssetType,Year,Growth
Cash & NCE: 3mo Tbills/CDs,1960,2.90%
Cash & NCE: Savings,1960,1.20%
Cash & NCE: US T-bond,1960,11.60%
Metals: Gold,1960,0.50%
Metals: Silver,1960,0.00%
Metals: Steel,1960,0.00%
Stocks: Dow Jones,1960,-9.30%
Stocks: S&P 500,1960,0.30%
Cash & NCE: 3mo Tbills/CDs,1961,2.40%
Cash & NCE: Savings,1961,1.10%
Cash & NCE: US T-bond,1961,2.10%
Metals: Gold,1961,-0.10%
Metals: Silver,1961,13.00%
Metals: Steel,1961,0.00%
Stocks: Dow Jones,1961,18.70%
Stocks: S&P 500,1961,26.60%
Cash & NCE: 3mo Tbills/CDs,1962,2.80%
Cash & NCE: Savings,1962,1.30%
Cash & NCE: US T-bond,1962,5.70%
Metals: Gold,1962,-0.10%
Metals: Silver,1962,16.10%
Metals: Steel,1962,0.00%
Stocks: Dow Jones,1962,-10.80%
Stocks: S&P 500,1962,-8.80%
Cash & NCE: 3mo Tbills/CDs,1963,3.20%
Cash & NCE: Savings,1963,1.20%
Cash & NCE: US T-bond,1963,1.70%
Metals: Gold,1963,-0.40%
Metals: Silver,1963,7.80%
Metals: Steel,1963,1.60%
Stocks: Dow Jones,1963,17.00%
Stocks: S&P 500,1963,22.60%
Cash & NCE: 3mo Tbills/CDs,1964,3.60%
Cash & NCE: Savings,1964,1.30%
Cash & NCE: US T-bond,1964,3.70%
Metals: Gold,1964,0.00%
Metals: Silver,1964,0.00%
Metals: Steel,1964,3.10%
Stocks: Dow Jones,1964,14.60%
Stocks: S&P 500,1964,16.40%
Cash & NCE: 3mo Tbills/CDs,1965,4.00%
Cash & NCE: Savings,1965,1.10%
Cash & NCE: US T-bond,1965,0.70%
Metals: Gold,1965,0.10%
Metals: Silver,1965,0.00%
Metals: Steel,1965,0.00%
Stocks: Dow Jones,1965,10.90%
Stocks: S&P 500,1965,12.40%
Cash & NCE: 3mo Tbills/CDs,1966,4.90%
Cash & NCE: Savings,1966,1.20%
Cash & NCE: US T-bond,1966,2.90%
Metals: Gold,1966,0.00%
Metals: Silver,1966,0.00%
Metals: Steel,1966,-0.80%
Stocks: Dow Jones,1966,-18.90%
Stocks: S&P 500,1966,-10.00%
Cash & NCE: 3mo Tbills/CDs,1967,4.30%
Cash & NCE: Savings,1967,1.20%
Cash & NCE: US T-bond,1967,-1.60%
Metals: Gold,1967,-0.50%
Metals: Silver,1967,59.30%
Metals: Steel,1967,0.80%
Stocks: Dow Jones,1967,15.20%
Stocks: S&P 500,1967,23.80%
Cash & NCE: 3mo Tbills/CDs,1968,5.30%
Cash & NCE: Savings,1968,1.20%
Cash & NCE: US T-bond,1968,3.30%
Metals: Gold,1968,10.70%
Metals: Silver,1968,-4.90%
Metals: Steel,1968,3.10%
Stocks: Dow Jones,1968,4.30%
Stocks: S&P 500,1968,10.80%
Cash & NCE: 3mo Tbills/CDs,1969,6.70%
Cash & NCE: Savings,1969,1.10%
Cash & NCE: US T-bond,1969,-5.00%
Metals: Gold,1969,6.20%
Metals: Silver,1969,-7.80%
